id,Trans_id,stations,color,walktime,description
297,1,",51,65,86",#EB841E,12,"Chestnut Hill Ave @ Veronica Smith Ctr"
298,0,",B",#018835,5,"Griggs Street"
298,1,",57,66",#F5C00E,5,"Brighton Ave @ Allston St"
298,2,",Green,Line,B,Shuttle",#F5C00E,5,"Griggs Street"
299,0,",Red,line",#EC211F,3,"JFK / UMass"
299,1,",Greenbush,Kingston",#B933AD,3,"JFK / UMass"
299,2,",Middleborough/Lakeville",#B933AD,3,"JFK / UMass"
299,3,",8,16,41",#F5C00E,3,"JFK / UMass"
300,0,",Red,LIne",#EC211F,8,"JFK / UMass"
300,1,",Greenbush/Kingston",#8E44AD,8,"JFK / UMass"
300,2,",Middleborough/Lakeville",#8E44AD,8,"JFK / UMass"
300,3,",8,16,41",#EB841E,8,"JFK / UMass"
300,4,",18",#EB841E,2,"Dorchster Ave @ Howes St"
301,0,",Red,Line",#DA1721,2,"JFK / UMass"
301,1,",Kingston,Line",#8E44AD,2,"JFK / UMass"
301,2,",Middleborough/Lakeville,Line",#8E44AD,2,"JFK / UMass"
301,3,",Greenbush,Line",#8E44AD,2,"JFK / UMass"
301,4,",8,16,41",#F5C00E,3,"JFK / UMass"
302,0,",57,501",#EB841E,3,"Washington St @ Brock St"
302,1,",51,65,86",#EB841E,12,"Chestnut Hill Ave @ Veronica Smith Ctr"
303,0,",B",#00843D,8,"Harvard Avenue"
303,1,",Framingham",#8E44AD,13,"Boston Landing"
304,0,",E",#00843d,5,"Longwood Medical Area"
304,1,",Orange,Line",#ed8b00,9,"Roxbury Crossing"
304,2,",Franklin/Needham/Providence",#80276c,15,Ruggles
304,3,",39",#f2bd2a,3,"Huntington Ave @ Wigglesworth St"
305,0,",51",#8E5B2D,4,"Chestnut Hill Ave & Strathmore Rd"
305,1,",86",#8E5B2D,4,"Chestnut Hill Ave & Strathmore Rd"
305,2,",B",#018835,2,"Commonwealth Ave & Chiswick Rd"
306,0,",Red,Line",#DA1721,3,"JFK / UMass"
306,1,",Greenbush/Kingston",#B933AD,3,"JFK / UMass"
306,2,",Lakeville,Line",#B933AD,3,"JFK / UMass"
307,0,",Greenbush,Kingston",#8E44AD,10,"JFK / UMass"
307,1,",Middleborough/Lakeville",#8E44AD,10,"JFK / UMass"
307,2,",Red,Line",#DA1721,10,"JFK / UMass"
307,3,",8,16,41",#F5C00E,10,"JFK / UMass"
308,0,",Framingham",#8E44AD,16,"Boston Landing"
308,1,",B",#00843D,16,"Harvard Avenue"
309,0,",B",#018835,3,"Sutherland Road"
310,0,",Orange,line",#EB841E,8,Haymarket
310,1,",Blue,line",#0E4189,11,Aquarium
311,0,",B",#018835,14,"Harvard Avenue"
